Episode: 121, Total numsteps: 1816, Episode steps: 9, Reward: -99.81, Cost: 0

Episode: 122, Total numsteps: 1839, Episode steps: 23, Reward: -99.84, Cost: 0

Episode: 123, Total numsteps: 1852, Episode steps: 13, Reward: -97.17, Cost: 0

Episode: 124, Total numsteps: 1868, Episode steps: 16, Reward: -98.73, Cost: 0

Episode: 125, Total numsteps: 1870, Episode steps: 2, Reward: -98.33, Cost: 0

Episode: 126, Total numsteps: 1899, Episode steps: 29, Reward: -97.12, Cost: 0

Episode: 127, Total numsteps: 1911, Episode steps: 12, Reward: -98.97, Cost: 0

Episode: 128, Total numsteps: 1920, Episode steps: 9, Reward: -99.47, Cost: 0

Episode: 129, Total numsteps: 1931, Episode steps: 11, Reward: -99.5, Cost: 0

Episode: 130, Total numsteps: 1951, Episode steps: 20, Reward: -98.39, Cost: 0

Episode: 131, Total numsteps: 1971, Episode steps: 20, Reward: -99.42, Cost: 0

Episode: 132, Total numsteps: 1994, Episode steps: 23, Reward: -98.69, Cost: 0

Episode: 133, Total numsteps: 2014, Episode steps: 20, Reward: -98.61, Cost: 0

Episode: 134, Total numsteps: 2023, Episode steps: 9, Reward: -99.49, Cost: 0

Episode: 135, Total numsteps: 2038, Episode steps: 15, Reward: -99.09, Cost: 0

Episode: 136, Total numsteps: 2050, Episode steps: 12, Reward: -99.33, Cost: 0

Episode: 137, Total numsteps: 2066, Episode steps: 16, Reward: -98.71, Cost: 0

Episode: 138, Total numsteps: 2087, Episode steps: 21, Reward: -99.8, Cost: 0

Episode: 139, Total numsteps: 2096, Episode steps: 9, Reward: -99.17, Cost: 0

Episode: 140, Total numsteps: 2107, Episode steps: 11, Reward: -98.8, Cost: 0

Episode: 141, Total numsteps: 2115, Episode steps: 8, Reward: -99.83, Cost: 0

Episode: 142, Total numsteps: 2124, Episode steps: 9, Reward: -99.73, Cost: 0

Episode: 143, Total numsteps: 2134, Episode steps: 10, Reward: -99.54, Cost: 0

Episode: 144, Total numsteps: 2168, Episode steps: 34, Reward: -99.73, Cost: 0

Episode: 145, Total numsteps: 2174, Episode steps: 6, Reward: -99.76, Cost: 0

Episode: 146, Total numsteps: 2186, Episode steps: 12, Reward: -98.5, Cost: 0

Episode: 147, Total numsteps: 2196, Episode steps: 10, Reward: -99.39, Cost: 0

Episode: 148, Total numsteps: 2210, Episode steps: 14, Reward: -96.98, Cost: 0

Episode: 149, Total numsteps: 2258, Episode steps: 48, Reward: -99.38, Cost: 0

Episode: 150, Total numsteps: 2268, Episode steps: 10, Reward: -97.9, Cost: 0

Episode: 151, Total numsteps: 2297, Episode steps: 29, Reward: -99.4, Cost: 0

Episode: 152, Total numsteps: 2320, Episode steps: 23, Reward: -98.64, Cost: 0

Episode: 153, Total numsteps: 2329, Episode steps: 9, Reward: -99.13, Cost: 0

Episode: 154, Total numsteps: 2342, Episode steps: 13, Reward: -99.28, Cost: 0

Episode: 155, Total numsteps: 2353, Episode steps: 11, Reward: -99.64, Cost: 0

Episode: 156, Total numsteps: 2372, Episode steps: 19, Reward: -97.82, Cost: 0

Episode: 157, Total numsteps: 2380, Episode steps: 8, Reward: -99.69, Cost: 0

Episode: 158, Total numsteps: 2394, Episode steps: 14, Reward: -99.45, Cost: 0

Episode: 159, Total numsteps: 2424, Episode steps: 30, Reward: -97.34, Cost: 0

Episode: 160, Total numsteps: 2448, Episode steps: 24, Reward: -98.94, Cost: 0

Episode: 161, Total numsteps: 2460, Episode steps: 12, Reward: -97.31, Cost: 0

Episode: 162, Total numsteps: 2468, Episode steps: 8, Reward: -99.75, Cost: 0

Episode: 163, Total numsteps: 2482, Episode steps: 14, Reward: -99.58, Cost: 0

Episode: 164, Total numsteps: 2491, Episode steps: 9, Reward: -98.86, Cost: 0

Episode: 165, Total numsteps: 2503, Episode steps: 12, Reward: -98.81, Cost: 0

Episode: 166, Total numsteps: 2534, Episode steps: 31, Reward: -98.23, Cost: 0

Episode: 167, Total numsteps: 2543, Episode steps: 9, Reward: -99.39, Cost: 0

Episode: 168, Total numsteps: 2559, Episode steps: 16, Reward: -98.27, Cost: 0

Episode: 169, Total numsteps: 2577, Episode steps: 18, Reward: -97.72, Cost: 0

Episode: 170, Total numsteps: 2585, Episode steps: 8, Reward: -99.72, Cost: 0

Episode: 171, Total numsteps: 2622, Episode steps: 37, Reward: -99.33, Cost: 0

Episode: 172, Total numsteps: 2642, Episode steps: 20, Reward: -99.3, Cost: 0

Episode: 173, Total numsteps: 2644, Episode steps: 2, Reward: -98.07, Cost: 0

Episode: 174, Total numsteps: 2662, Episode steps: 18, Reward: -99.24, Cost: 0

Episode: 175, Total numsteps: 2695, Episode steps: 33, Reward: -99.16, Cost: 0

Episode: 176, Total numsteps: 2716, Episode steps: 21, Reward: -99.68, Cost: 0

Episode: 177, Total numsteps: 2725, Episode steps: 9, Reward: -99.25, Cost: 0

Episode: 178, Total numsteps: 2732, Episode steps: 7, Reward: -99.28, Cost: 0

Episode: 179, Total numsteps: 2738, Episode steps: 6, Reward: -99.26, Cost: 0

Episode: 180, Total numsteps: 2752, Episode steps: 14, Reward: -97.92, Cost: 0

Episode: 181, Total numsteps: 2764, Episode steps: 12, Reward: -99.59, Cost: 0

Episode: 182, Total numsteps: 2774, Episode steps: 10, Reward: -99.72, Cost: 0

Episode: 183, Total numsteps: 2782, Episode steps: 8, Reward: -98.62, Cost: 0

Episode: 184, Total numsteps: 2802, Episode steps: 20, Reward: -99.48, Cost: 0

Episode: 185, Total numsteps: 2812, Episode steps: 10, Reward: -98.94, Cost: 0

Episode: 186, Total numsteps: 2834, Episode steps: 22, Reward: -99.58, Cost: 0

Episode: 187, Total numsteps: 2848, Episode steps: 14, Reward: -99.68, Cost: 0

Episode: 188, Total numsteps: 2869, Episode steps: 21, Reward: -98.13, Cost: 0

Episode: 189, Total numsteps: 2881, Episode steps: 12, Reward: -99.16, Cost: 0

Episode: 190, Total numsteps: 2891, Episode steps: 10, Reward: -99.31, Cost: 0

Episode: 191, Total numsteps: 2902, Episode steps: 11, Reward: -99.38, Cost: 0

Episode: 192, Total numsteps: 2918, Episode steps: 16, Reward: -99.31, Cost: 0

Episode: 193, Total numsteps: 2927, Episode steps: 9, Reward: -99.57, Cost: 0

Episode: 194, Total numsteps: 2939, Episode steps: 12, Reward: -99.64, Cost: 0

Episode: 195, Total numsteps: 2947, Episode steps: 8, Reward: -99.05, Cost: 0

Episode: 196, Total numsteps: 2973, Episode steps: 26, Reward: -99.51, Cost: 0

Episode: 197, Total numsteps: 2980, Episode steps: 7, Reward: -99.47, Cost: 0

Episode: 198, Total numsteps: 2987, Episode steps: 7, Reward: -99.32, Cost: 0

Episode: 199, Total numsteps: 3000, Episode steps: 13, Reward: -98.89, Cost: 0

Episode: 200, Total numsteps: 3022, Episode steps: 22, Reward: -99.47, Cost: 0

Episode: 201, Total numsteps: 3032, Episode steps: 10, Reward: -99.03, Cost: 0

Episode: 202, Total numsteps: 3044, Episode steps: 12, Reward: -99.19, Cost: 0

Episode: 203, Total numsteps: 3054, Episode steps: 10, Reward: -98.72, Cost: 0

Episode: 204, Total numsteps: 3067, Episode steps: 13, Reward: -99.21, Cost: 0

Episode: 205, Total numsteps: 3079, Episode steps: 12, Reward: -99.68, Cost: 0

Episode: 206, Total numsteps: 3094, Episode steps: 15, Reward: -99.22, Cost: 0

Episode: 207, Total numsteps: 3104, Episode steps: 10, Reward: -98.7, Cost: 0

Episode: 208, Total numsteps: 3119, Episode steps: 15, Reward: -98.9, Cost: 0

Episode: 209, Total numsteps: 3121, Episode steps: 2, Reward: -98.33, Cost: 0

Episode: 210, Total numsteps: 3139, Episode steps: 18, Reward: -99.2, Cost: 0

Episode: 211, Total numsteps: 3150, Episode steps: 11, Reward: -99.63, Cost: 0

Episode: 212, Total numsteps: 3157, Episode steps: 7, Reward: -97.98, Cost: 0

Episode: 213, Total numsteps: 3165, Episode steps: 8, Reward: -99.64, Cost: 0

Episode: 214, Total numsteps: 3181, Episode steps: 16, Reward: -98.82, Cost: 0

Episode: 215, Total numsteps: 3189, Episode steps: 8, Reward: -99.11, Cost: 0

Episode: 216, Total numsteps: 3200, Episode steps: 11, Reward: -99.13, Cost: 0

Episode: 217, Total numsteps: 3211, Episode steps: 11, Reward: -99.49, Cost: 0

Episode: 218, Total numsteps: 3218, Episode steps: 7, Reward: -98.7, Cost: 0

Episode: 219, Total numsteps: 3227, Episode steps: 9, Reward: -99.28, Cost: 0

Episode: 220, Total numsteps: 3253, Episode steps: 26, Reward: -99.81, Cost: 0

Episode: 221, Total numsteps: 3275, Episode steps: 22, Reward: -99.21, Cost: 0

Episode: 222, Total numsteps: 3286, Episode steps: 11, Reward: -99.59, Cost: 0

Episode: 223, Total numsteps: 3298, Episode steps: 12, Reward: -99.62, Cost: 0

Episode: 224, Total numsteps: 3312, Episode steps: 14, Reward: -99.85, Cost: 0

Episode: 225, Total numsteps: 3322, Episode steps: 10, Reward: -99.29, Cost: 0

Episode: 226, Total numsteps: 3330, Episode steps: 8, Reward: -99.41, Cost: 0

Episode: 227, Total numsteps: 3347, Episode steps: 17, Reward: -99.34, Cost: 0

Episode: 228, Total numsteps: 3359, Episode steps: 12, Reward: -99.2, Cost: 0

Episode: 229, Total numsteps: 3373, Episode steps: 14, Reward: -98.45, Cost: 0

Episode: 230, Total numsteps: 3381, Episode steps: 8, Reward: -99.78, Cost: 0

Episode: 231, Total numsteps: 3388, Episode steps: 7, Reward: -99.67, Cost: 0

Episode: 232, Total numsteps: 3390, Episode steps: 2, Reward: -98.43, Cost: 0

Episode: 233, Total numsteps: 3403, Episode steps: 13, Reward: -99.54, Cost: 0

Episode: 234, Total numsteps: 3419, Episode steps: 16, Reward: -99.56, Cost: 0

Episode: 235, Total numsteps: 3431, Episode steps: 12, Reward: -98.28, Cost: 0

Episode: 236, Total numsteps: 3445, Episode steps: 14, Reward: -99.5, Cost: 0

Episode: 237, Total numsteps: 3460, Episode steps: 15, Reward: -98.97, Cost: 0

Episode: 238, Total numsteps: 3484, Episode steps: 24, Reward: -98.98, Cost: 0

Episode: 239, Total numsteps: 3511, Episode steps: 27, Reward: -98.91, Cost: 0

Episode: 240, Total numsteps: 3520, Episode steps: 9, Reward: -99.4, Cost: 0

Episode: 241, Total numsteps: 3533, Episode steps: 13, Reward: -99.3, Cost: 0

Episode: 242, Total numsteps: 3548, Episode steps: 15, Reward: -99.12, Cost: 0

Episode: 243, Total numsteps: 3558, Episode steps: 10, Reward: -99.52, Cost: 0

Episode: 244, Total numsteps: 3565, Episode steps: 7, Reward: -98.94, Cost: 0

Episode: 245, Total numsteps: 3585, Episode steps: 20, Reward: -99.72, Cost: 0

Episode: 246, Total numsteps: 3626, Episode steps: 41, Reward: -98.84, Cost: 0

Episode: 247, Total numsteps: 3653, Episode steps: 27, Reward: -98.46, Cost: 0

Episode: 248, Total numsteps: 3668, Episode steps: 15, Reward: -99.26, Cost: 0

Episode: 249, Total numsteps: 3682, Episode steps: 14, Reward: -98.89, Cost: 0

Episode: 250, Total numsteps: 3696, Episode steps: 14, Reward: -98.86, Cost: 0

Episode: 251, Total numsteps: 3728, Episode steps: 32, Reward: -98.43, Cost: 0

Episode: 252, Total numsteps: 3756, Episode steps: 28, Reward: -99.59, Cost: 0

Episode: 253, Total numsteps: 3763, Episode steps: 7, Reward: -99.49, Cost: 0

Episode: 254, Total numsteps: 3778, Episode steps: 15, Reward: -99.61, Cost: 0

Episode: 255, Total numsteps: 3814, Episode steps: 36, Reward: -97.89, Cost: 0

Episode: 256, Total numsteps: 3846, Episode steps: 32, Reward: -98.41, Cost: 0

