Episode: 79, Total numsteps: 1319, Episode steps: 19, Reward: -99.4, Cost: 0, Running Time: 0.435

Episode: 80, Total numsteps: 1336, Episode steps: 17, Reward: -99.6, Cost: 0, Running Time: 0.372

Episode: 81, Total numsteps: 1343, Episode steps: 7, Reward: -99.4, Cost: 0, Running Time: 0.1612

Episode: 82, Total numsteps: 1392, Episode steps: 49, Reward: -98.98, Cost: 0, Running Time: 1.1652

Episode: 83, Total numsteps: 1413, Episode steps: 21, Reward: -99.51, Cost: 0, Running Time: 0.5134

Episode: 84, Total numsteps: 1420, Episode steps: 7, Reward: -99.46, Cost: 0, Running Time: 0.1617

Episode: 85, Total numsteps: 1434, Episode steps: 14, Reward: -98.99, Cost: 0, Running Time: 0.3292

Episode: 86, Total numsteps: 1449, Episode steps: 15, Reward: -99.29, Cost: 0, Running Time: 0.3826

Episode: 87, Total numsteps: 1460, Episode steps: 11, Reward: -99.67, Cost: 0, Running Time: 0.2644

Episode: 88, Total numsteps: 1483, Episode steps: 23, Reward: -99.57, Cost: 0, Running Time: 0.5583

Episode: 89, Total numsteps: 1492, Episode steps: 9, Reward: -99.57, Cost: 0, Running Time: 0.2008

Episode: 90, Total numsteps: 1501, Episode steps: 9, Reward: -99.7, Cost: 0, Running Time: 0.2064

Episode: 91, Total numsteps: 1518, Episode steps: 17, Reward: -99.41, Cost: 0, Running Time: 0.4046

Episode: 92, Total numsteps: 1543, Episode steps: 25, Reward: -99.77, Cost: 0, Running Time: 0.5919

Episode: 93, Total numsteps: 1558, Episode steps: 15, Reward: -99.23, Cost: 0, Running Time: 0.3314

Episode: 94, Total numsteps: 1574, Episode steps: 16, Reward: -99.1, Cost: 0, Running Time: 0.3638

Episode: 95, Total numsteps: 1582, Episode steps: 8, Reward: -98.38, Cost: 0, Running Time: 0.1864

Episode: 96, Total numsteps: 1624, Episode steps: 42, Reward: -99.45, Cost: 0, Running Time: 1.0226

Episode: 97, Total numsteps: 1686, Episode steps: 62, Reward: -99.81, Cost: 0, Running Time: 1.5142

Episode: 98, Total numsteps: 1710, Episode steps: 24, Reward: -98.78, Cost: 0, Running Time: 0.5724

Episode: 99, Total numsteps: 1719, Episode steps: 9, Reward: -99.13, Cost: 0, Running Time: 0.2153

Episode: 100, Total numsteps: 1734, Episode steps: 15, Reward: -99.12, Cost: 0, Running Time: 0.3484

Episode: 101, Total numsteps: 1761, Episode steps: 27, Reward: -99.65, Cost: 0, Running Time: 0.6405

Episode: 102, Total numsteps: 1779, Episode steps: 18, Reward: -99.34, Cost: 0, Running Time: 0.4341

Episode: 103, Total numsteps: 1799, Episode steps: 20, Reward: -98.84, Cost: 0, Running Time: 0.478

Episode: 104, Total numsteps: 1807, Episode steps: 8, Reward: -99.01, Cost: 0, Running Time: 0.1867

Episode: 105, Total numsteps: 1816, Episode steps: 9, Reward: -99.81, Cost: 0, Running Time: 0.2038

Episode: 106, Total numsteps: 1849, Episode steps: 33, Reward: -99.84, Cost: 0, Running Time: 0.8093

Episode: 107, Total numsteps: 1869, Episode steps: 20, Reward: -99.29, Cost: 0, Running Time: 0.5171

Episode: 108, Total numsteps: 1877, Episode steps: 8, Reward: -98.77, Cost: 0, Running Time: 0.1973

Episode: 109, Total numsteps: 1879, Episode steps: 2, Reward: -98.16, Cost: 0, Running Time: 0.059

Episode: 110, Total numsteps: 1888, Episode steps: 9, Reward: -99.67, Cost: 0, Running Time: 0.1995

Episode: 111, Total numsteps: 1899, Episode steps: 11, Reward: -98.93, Cost: 0, Running Time: 0.243

Episode: 112, Total numsteps: 1911, Episode steps: 12, Reward: -99.06, Cost: 0, Running Time: 0.2723

Episode: 113, Total numsteps: 1920, Episode steps: 9, Reward: -99.47, Cost: 0, Running Time: 0.2089

Episode: 114, Total numsteps: 1931, Episode steps: 11, Reward: -99.5, Cost: 0, Running Time: 0.2456

Episode: 115, Total numsteps: 1952, Episode steps: 21, Reward: -98.4, Cost: 0, Running Time: 0.4932

Episode: 116, Total numsteps: 1969, Episode steps: 17, Reward: -98.36, Cost: 0, Running Time: 0.3873

Episode: 117, Total numsteps: 1979, Episode steps: 10, Reward: -99.35, Cost: 0, Running Time: 0.2397

Episode: 118, Total numsteps: 2102, Episode steps: 123, Reward: -99.72, Cost: 0, Running Time: 3.2049

Episode: 119, Total numsteps: 2114, Episode steps: 12, Reward: -99.2, Cost: 0, Running Time: 0.2744

Episode: 120, Total numsteps: 2122, Episode steps: 8, Reward: -99.61, Cost: 0, Running Time: 0.1823

Episode: 121, Total numsteps: 2136, Episode steps: 14, Reward: -99.74, Cost: 0, Running Time: 0.3136

Episode: 122, Total numsteps: 2220, Episode steps: 84, Reward: -99.09, Cost: 0, Running Time: 1.9023

Episode: 123, Total numsteps: 2234, Episode steps: 14, Reward: -98.57, Cost: 0, Running Time: 0.3169

Episode: 124, Total numsteps: 2241, Episode steps: 7, Reward: -99.13, Cost: 0, Running Time: 0.1712

Episode: 125, Total numsteps: 2281, Episode steps: 40, Reward: -99.63, Cost: 0, Running Time: 1.0163

Episode: 126, Total numsteps: 2290, Episode steps: 9, Reward: -99.74, Cost: 0, Running Time: 0.2073

Episode: 127, Total numsteps: 2303, Episode steps: 13, Reward: -98.99, Cost: 0, Running Time: 0.2981

Episode: 128, Total numsteps: 2316, Episode steps: 13, Reward: -98.89, Cost: 0, Running Time: 0.2853

Episode: 129, Total numsteps: 2328, Episode steps: 12, Reward: -99.67, Cost: 0, Running Time: 0.2711

Episode: 130, Total numsteps: 2342, Episode steps: 14, Reward: -99.91, Cost: 0, Running Time: 0.3233

Episode: 131, Total numsteps: 2353, Episode steps: 11, Reward: -99.65, Cost: 0, Running Time: 0.249

Episode: 132, Total numsteps: 2373, Episode steps: 20, Reward: -97.87, Cost: 0, Running Time: 0.4807

Episode: 133, Total numsteps: 2388, Episode steps: 15, Reward: -99.48, Cost: 0, Running Time: 0.3485

Episode: 134, Total numsteps: 2466, Episode steps: 78, Reward: -99.16, Cost: 0, Running Time: 2.0515

Episode: 135, Total numsteps: 2484, Episode steps: 18, Reward: -98.76, Cost: 0, Running Time: 0.4535

Episode: 136, Total numsteps: 2493, Episode steps: 9, Reward: -99.39, Cost: 0, Running Time: 0.2284

Episode: 137, Total numsteps: 2517, Episode steps: 24, Reward: -99.22, Cost: 0, Running Time: 0.6078

Episode: 138, Total numsteps: 2526, Episode steps: 9, Reward: -98.53, Cost: 0, Running Time: 0.2223

Episode: 139, Total numsteps: 2541, Episode steps: 15, Reward: -98.91, Cost: 0, Running Time: 0.3548

Episode: 140, Total numsteps: 2557, Episode steps: 16, Reward: -98.1, Cost: 0, Running Time: 0.3869

Episode: 141, Total numsteps: 2568, Episode steps: 11, Reward: -98.92, Cost: 0, Running Time: 0.2537

Episode: 142, Total numsteps: 2586, Episode steps: 18, Reward: -98.89, Cost: 0, Running Time: 0.4417

Episode: 143, Total numsteps: 2604, Episode steps: 18, Reward: -98.72, Cost: 0, Running Time: 0.4265

Episode: 144, Total numsteps: 2619, Episode steps: 15, Reward: -99.42, Cost: 0, Running Time: 0.3514

Episode: 145, Total numsteps: 2653, Episode steps: 34, Reward: -98.58, Cost: 0, Running Time: 0.8424

Episode: 146, Total numsteps: 2661, Episode steps: 8, Reward: -99.35, Cost: 0, Running Time: 0.1981

Episode: 147, Total numsteps: 2708, Episode steps: 47, Reward: -99.59, Cost: 0, Running Time: 1.1571

Episode: 148, Total numsteps: 2716, Episode steps: 8, Reward: -99.13, Cost: 0, Running Time: 0.1951

Episode: 149, Total numsteps: 2725, Episode steps: 9, Reward: -99.26, Cost: 0, Running Time: 0.2197

Episode: 150, Total numsteps: 2732, Episode steps: 7, Reward: -99.32, Cost: 0, Running Time: 0.1742

Episode: 151, Total numsteps: 2738, Episode steps: 6, Reward: -99.3, Cost: 0, Running Time: 0.1508

Episode: 152, Total numsteps: 2754, Episode steps: 16, Reward: -98.02, Cost: 0, Running Time: 0.361

Episode: 153, Total numsteps: 2867, Episode steps: 113, Reward: -99.52, Cost: 0, Running Time: 2.6966

Episode: 154, Total numsteps: 2949, Episode steps: 82, Reward: -99.66, Cost: 0, Running Time: 2.1585

Episode: 155, Total numsteps: 2971, Episode steps: 22, Reward: -98.98, Cost: 0, Running Time: 0.5486

Episode: 156, Total numsteps: 3002, Episode steps: 31, Reward: -98.37, Cost: 0, Running Time: 0.7882

Episode: 157, Total numsteps: 3013, Episode steps: 11, Reward: -98.8, Cost: 0, Running Time: 0.2532

Episode: 158, Total numsteps: 3026, Episode steps: 13, Reward: -98.63, Cost: 0, Running Time: 0.3054

Episode: 159, Total numsteps: 3035, Episode steps: 9, Reward: -98.49, Cost: 0, Running Time: 0.223

Episode: 160, Total numsteps: 3057, Episode steps: 22, Reward: -97.17, Cost: 0, Running Time: 0.544

Episode: 161, Total numsteps: 3067, Episode steps: 10, Reward: -99.15, Cost: 0, Running Time: 0.2279

Episode: 162, Total numsteps: 3079, Episode steps: 12, Reward: -99.68, Cost: 0, Running Time: 0.2799

